16/03/30 03:56:39 INFO client.RMProxy: Connecting to ResourceManager at ec2-52-36-82-211.us-west-2.compute.amazonaws.com/172.31.6.22:9050
16/03/30 03:56:40 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
16/03/30 03:56:40 INFO input.FileInputFormat: Total input paths to process : 1
16/03/30 03:56:40 INFO mapreduce.JobSubmitter: number of splits:75
16/03/30 03:56:40 INFO Configuration.deprecation: mapred.textoutputformat.separator is deprecated. Instead, use mapreduce.output.textoutputformat.separator
16/03/30 03:56:41 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1459309616944_0001
16/03/30 03:56:41 INFO impl.YarnClientImpl: Submitted application application_1459309616944_0001
16/03/30 03:56:41 INFO mapreduce.Job: The url to track the job: http://ec2-52-36-82-211.us-west-2.compute.amazonaws.com:9006/proxy/application_1459309616944_0001/
16/03/30 03:56:41 INFO mapreduce.Job: Running job: job_1459309616944_0001
16/03/30 03:56:51 INFO mapreduce.Job: Job job_1459309616944_0001 running in uber mode : false
16/03/30 04:15:10 INFO mapreduce.Job:  map 100% reduce 33%
16/03/30 04:15:31 INFO mapreduce.Job:  map 100% reduce 37%
16/03/30 04:15:34 INFO mapreduce.Job:  map 100% reduce 56%
16/03/30 04:15:37 INFO mapreduce.Job:  map 100% reduce 67%
16/03/30 04:15:46 INFO mapreduce.Job:  map 100% reduce 68%
16/03/30 04:15:52 INFO mapreduce.Job:  map 100% reduce 69%
16/03/30 04:15:58 INFO mapreduce.Job:  map 100% reduce 70%
16/03/30 04:16:05 INFO mapreduce.Job:  map 100% reduce 71%
16/03/30 04:16:08 INFO mapreduce.Job:  map 100% reduce 72%
16/03/30 04:16:14 INFO mapreduce.Job:  map 100% reduce 73%
16/03/30 04:16:20 INFO mapreduce.Job:  map 100% reduce 74%
16/03/30 04:16:26 INFO mapreduce.Job:  map 100% reduce 75%
16/03/30 04:16:29 INFO mapreduce.Job:  map 100% reduce 76%
16/03/30 04:16:35 INFO mapreduce.Job:  map 100% reduce 77%
16/03/30 04:16:41 INFO mapreduce.Job:  map 100% reduce 78%
16/03/30 04:16:47 INFO mapreduce.Job:  map 100% reduce 79%
16/03/30 04:16:53 INFO mapreduce.Job:  map 100% reduce 80%
16/03/30 04:16:59 INFO mapreduce.Job:  map 100% reduce 81%
16/03/30 04:17:02 INFO mapreduce.Job:  map 100% reduce 82%
16/03/30 04:17:08 INFO mapreduce.Job:  map 100% reduce 83%
16/03/30 04:17:14 INFO mapreduce.Job:  map 100% reduce 84%
16/03/30 04:17:20 INFO mapreduce.Job:  map 100% reduce 85%
16/03/30 04:17:26 INFO mapreduce.Job:  map 100% reduce 86%
16/03/30 04:17:32 INFO mapreduce.Job:  map 100% reduce 87%
16/03/30 04:17:38 INFO mapreduce.Job:  map 100% reduce 88%
16/03/30 04:17:44 INFO mapreduce.Job:  map 100% reduce 89%
16/03/30 04:17:50 INFO mapreduce.Job:  map 100% reduce 90%
16/03/30 04:17:56 INFO mapreduce.Job:  map 100% reduce 91%
16/03/30 04:18:02 INFO mapreduce.Job:  map 100% reduce 92%
16/03/30 04:18:08 INFO mapreduce.Job:  map 100% reduce 93%
16/03/30 04:18:14 INFO mapreduce.Job:  map 100% reduce 94%
16/03/30 04:18:23 INFO mapreduce.Job:  map 100% reduce 95%
16/03/30 04:18:26 INFO mapreduce.Job:  map 100% reduce 96%
16/03/30 04:18:35 INFO mapreduce.Job:  map 100% reduce 97%
16/03/30 04:18:39 INFO mapreduce.Job:  map 100% reduce 98%
16/03/30 04:18:45 INFO mapreduce.Job:  map 100% reduce 99%
16/03/30 04:18:51 INFO mapreduce.Job:  map 100% reduce 100%
16/03/30 04:18:52 INFO mapreduce.Job: Job job_1459309616944_0001 completed successfully
16/03/30 04:18:53 INFO mapreduce.Job: Counters: 50
	File System Counters
		FILE: Number of bytes read=30256951212
		FILE: Number of bytes written=40465918912
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		HDFS: Number of bytes read=10000313679
		HDFS: Number of bytes written=10000000000
		HDFS: Number of read operations=228
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=2
	Job Counters 
		Killed map tasks=1
		Launched map tasks=76
		Launched reduce tasks=1
		Data-local map tasks=76
		Total time spent by all maps in occupied slots (ms)=5529241
		Total time spent by all reduces in occupied slots (ms)=1090684
		Total time spent by all map tasks (ms)=5529241
		Total time spent by all reduce tasks (ms)=1090684
		Total vcore-milliseconds taken by all map tasks=5529241
		Total vcore-milliseconds taken by all reduce tasks=1090684
		Total megabyte-milliseconds taken by all map tasks=5661942784
		Total megabyte-milliseconds taken by all reduce tasks=1116860416
	Map-Reduce Framework
		Map input records=100000000
		Map output records=100000000
		Map output bytes=10000000000
		Map output materialized bytes=10200000450
		Input split bytes=10575
		Combine input records=100000000
		Combine output records=100000000
		Reduce input groups=100000000
		Reduce shuffle bytes=10200000450
		Reduce input records=100000000
		Reduce output records=100000000
		Spilled Records=396636763
		Shuffled Maps =75
		Failed Shuffles=0
		Merged Map outputs=75
		GC time elapsed (ms)=101062
		CPU time spent (ms)=1700470
		Physical memory (bytes) snapshot=19684028416
		Virtual memory (bytes) snapshot=62917017600
		Total committed heap usage (bytes)=15712911360
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=10000303104
	File Output Format Counters 
		Bytes Written=10000000000
