16/03/30 23:16:18 INFO client.RMProxy: Connecting to ResourceManager at ec2-52-36-82-211.us-west-2.compute.amazonaws.com/172.31.6.22:9050
16/03/30 23:16:18 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
16/03/30 23:16:18 INFO input.FileInputFormat: Total input paths to process : 1
16/03/30 23:16:19 INFO mapreduce.JobSubmitter: number of splits:75
16/03/30 23:16:19 INFO Configuration.deprecation: mapred.textoutputformat.separator is deprecated. Instead, use mapreduce.output.textoutputformat.separator
16/03/30 23:16:19 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1459379192543_0002
16/03/30 23:16:20 INFO impl.YarnClientImpl: Submitted application application_1459379192543_0002
16/03/30 23:16:20 INFO mapreduce.Job: The url to track the job: http://ec2-52-36-82-211.us-west-2.compute.amazonaws.com:9006/proxy/application_1459379192543_0002/
16/03/30 23:16:20 INFO mapreduce.Job: Running job: job_1459379192543_0002
16/03/30 23:16:30 INFO mapreduce.Job: Job job_1459379192543_0002 running in uber mode : false
16/03/30 23:32:38 INFO mapreduce.Job:  map 100% reduce 24%
16/03/30 23:32:53 INFO mapreduce.Job:  map 100% reduce 25%
16/03/30 23:32:56 INFO mapreduce.Job:  map 100% reduce 26%
16/03/30 23:33:11 INFO mapreduce.Job:  map 100% reduce 27%
16/03/30 23:33:14 INFO mapreduce.Job:  map 100% reduce 28%
16/03/30 23:33:23 INFO mapreduce.Job:  map 100% reduce 29%
16/03/30 23:33:26 INFO mapreduce.Job:  map 100% reduce 30%
16/03/30 23:33:35 INFO mapreduce.Job:  map 100% reduce 31%
16/03/30 23:33:41 INFO mapreduce.Job:  map 100% reduce 32%
16/03/30 23:35:14 INFO mapreduce.Job:  map 100% reduce 33%
16/03/30 23:36:36 INFO mapreduce.Job:  map 100% reduce 57%
16/03/30 23:36:39 INFO mapreduce.Job:  map 100% reduce 67%
16/03/30 23:36:48 INFO mapreduce.Job:  map 100% reduce 68%
16/03/30 23:36:54 INFO mapreduce.Job:  map 100% reduce 69%
16/03/30 23:36:57 INFO mapreduce.Job:  map 100% reduce 70%
16/03/30 23:37:06 INFO mapreduce.Job:  map 100% reduce 71%
16/03/30 23:37:12 INFO mapreduce.Job:  map 100% reduce 72%
16/03/30 23:37:15 INFO mapreduce.Job:  map 100% reduce 73%
16/03/30 23:37:21 INFO mapreduce.Job:  map 100% reduce 74%
16/03/30 23:37:27 INFO mapreduce.Job:  map 100% reduce 75%
16/03/30 23:37:33 INFO mapreduce.Job:  map 100% reduce 76%
16/03/30 23:37:39 INFO mapreduce.Job:  map 100% reduce 77%
16/03/30 23:37:45 INFO mapreduce.Job:  map 100% reduce 78%
16/03/30 23:37:51 INFO mapreduce.Job:  map 100% reduce 79%
16/03/30 23:37:57 INFO mapreduce.Job:  map 100% reduce 80%
16/03/30 23:38:03 INFO mapreduce.Job:  map 100% reduce 81%
16/03/30 23:38:09 INFO mapreduce.Job:  map 100% reduce 82%
16/03/30 23:38:15 INFO mapreduce.Job:  map 100% reduce 83%
16/03/30 23:38:18 INFO mapreduce.Job:  map 100% reduce 84%
16/03/30 23:38:27 INFO mapreduce.Job:  map 100% reduce 85%
16/03/30 23:38:33 INFO mapreduce.Job:  map 100% reduce 86%
16/03/30 23:38:39 INFO mapreduce.Job:  map 100% reduce 87%
16/03/30 23:38:45 INFO mapreduce.Job:  map 100% reduce 88%
16/03/30 23:38:49 INFO mapreduce.Job:  map 100% reduce 89%
16/03/30 23:38:58 INFO mapreduce.Job:  map 100% reduce 90%
16/03/30 23:39:04 INFO mapreduce.Job:  map 100% reduce 91%
16/03/30 23:39:07 INFO mapreduce.Job:  map 100% reduce 92%
16/03/30 23:39:13 INFO mapreduce.Job:  map 100% reduce 93%
16/03/30 23:39:19 INFO mapreduce.Job:  map 100% reduce 94%
16/03/30 23:39:25 INFO mapreduce.Job:  map 100% reduce 95%
16/03/30 23:39:31 INFO mapreduce.Job:  map 100% reduce 96%
16/03/30 23:39:37 INFO mapreduce.Job:  map 100% reduce 97%
16/03/30 23:39:43 INFO mapreduce.Job:  map 100% reduce 98%
16/03/30 23:39:49 INFO mapreduce.Job:  map 100% reduce 99%
16/03/30 23:39:55 INFO mapreduce.Job:  map 100% reduce 100%
16/03/30 23:39:57 INFO mapreduce.Job: Job job_1459379192543_0002 completed successfully
16/03/30 23:39:57 INFO mapreduce.Job: Counters: 50
	File System Counters
		FILE: Number of bytes read=30256951212
		FILE: Number of bytes written=40465918851
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		HDFS: Number of bytes read=10000313604
		HDFS: Number of bytes written=10000000000
		HDFS: Number of read operations=228
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=2
	Job Counters 
		Killed map tasks=6
		Launched map tasks=82
		Launched reduce tasks=1
		Rack-local map tasks=5
		Total time spent by all maps in occupied slots (ms)=17683542
		Total time spent by all reduces in occupied slots (ms)=594039
		Total time spent by all map tasks (ms)=17683542
		Total time spent by all reduce tasks (ms)=594039
		Total vcore-milliseconds taken by all map tasks=17683542
		Total vcore-milliseconds taken by all reduce tasks=594039
		Total megabyte-milliseconds taken by all map tasks=18107947008
		Total megabyte-milliseconds taken by all reduce tasks=608295936
	Map-Reduce Framework
		Map input records=100000000
		Map output records=100000000
		Map output bytes=10000000000
		Map output materialized bytes=10200000450
		Input split bytes=10500
		Combine input records=100000000
		Combine output records=100000000
		Reduce input groups=100000000
		Reduce shuffle bytes=10200000450
		Reduce input records=100000000
		Reduce output records=100000000
		Spilled Records=396636763
		Shuffled Maps =75
		Failed Shuffles=0
		Merged Map outputs=75
		GC time elapsed (ms)=38240
		CPU time spent (ms)=1363380
		Physical memory (bytes) snapshot=20931784704
		Virtual memory (bytes) snapshot=62911987712
		Total committed heap usage (bytes)=14542700544
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=10000303104
	File Output Format Counters 
		Bytes Written=10000000000
